#00xx: Singles

#0000: Full House

#0001: Last Digit

#0002: Hidden Single

#0003: Naked Single

#01xx: Intersections
#0100: Locked Candidate Type 1
........9.6....3..2.4....7...937.5.1.....2..3...15.7....1.24.....8.3.6...4.5..... # lc1(3) s
....2.3.5.9...7..44.....8.9.7214......5.63.4.....8......1576...6.....5.3......... # lc1(3) s
5.2....8.61....2........593..5612....4698.........5..8....4.....2...1.5...7...9.. # x fmf4(1) x

#0363: Finned Mutant Squirmbag

#0364: Finned Mutant Whale

#0370: Kraken Fish

#04xx: Single Digit Patterns
#0400: Skyscraper
...28.754.9.4.38............397..28.84......3.5.....7...8..1.9......5..23.6...... # s sk(4) s
...........19.2.6......679.9.2...6..37....95...5.....414...3..57.9.24......8..... # s sk(4) s
2.......6.4.......5.7918........3.......8..1.7.3..9.....23.784..85...1..9......5. # s sk(4) s
..56.8..33...5.....67..............1.82.145....6........45....77..96..1....1...2. # s sk(3) s
....41...5.67.2..1.2........4.9....2..9.586436..........41....57...8.....5......9 # s sk(3) s
..9..35...627.....17...8.....6.....55.......3.93.8.2....72..6.9.....1..........8. # s sk(3) s
.92.3.14737.....69......3....7......4....2......4..23..6..45....8.39...2....1.98. # s sk(3) s
.23..49...5..1.4.....52......5.6.3.741.8....6.7.....................61..198.4.5.. # s sk(3) s
.865.........4...8.9...2.......1....4..7....59......1......5.63...18.9..65..9.8.4 # s sk(3) s
.1..9.......68..2.2...........35..9..7...98.3...2....4..316...54.8...1........7.. # s sk(3) s
....2.........1.8.7.5.649.34.7...8.......2..4........5.5...7.19.89..32..3.6...... # s sk(1) s
.3......4..67......79.4.2..36............5...7..4.23......2..96...374..1.2..5.... # s sk(1) s
..1.....9.8.9...32..2173....2.............27..148..6......9........5..6319...7... # s sk(1) s

#0401: 2-String Kite
.56.7.9...4.62..8.28...........8....73....618..5....2...........7.5...49....487.1 # s 2sk(1) s
.617....5842.95....5..6.4.........3..25........41...26..........8.....672.....349 # s 2sk(1) s
32..479.6..6........5.9..3.....7.......9.1..5..28..7.........7.6.3..4....5..26143 # s 2sk(1) s
.81.2............9..68...4...31..7....8.57916........45....6.9223...84........... # s 2sk(1) s

#0402: Empty Rectangle
7...56.381.842.............5..3......4..8.7....1...24...3.........1....5.5...7.6. # s er(1) s
..86........759...6..1...9.......83.9.6.....5..24.5.....5..438.3.18.2..6......2.. # s er(1) s
.3.8...7..48...1....745..69...74.951..4......7...2........1.....25.7...36.....7.. # s er(1) s
5.......3.....897.697.5...........287.3.1..........1....9..1357..8765......49.... # s er(1) s
47...........2...78..5..34..6..7..8...9.45..3.8......2741..32............9.2...5. # s er(1) s

#0403: Turbot Fish
2.4..3587.3......2..8..6.............2...4.39....9...659........4.5...1.61.3.9..5 # s tf(1) s
29.5..........3.......9.3.5...6.84..826.3.5..3.....9....534..21.17..264.......... # s tf(1) s
.....6..3...3...471.6..92....27.4............6....21.9..96......459....8....4.... # s tf(1) s
.....75...4.2....316..........8.....6.213..87.7...9...2.5..39......92..1..97..... # s tf(1) s
...1.3.9..3..9..........5...5...7..26.7....3.14.2.....8.......79..514.......2.4.. # s tf(1) s
5..39..81..3.6.....1.2........7.......29...581...5..9.8.5....6.........99....871. # s tf(1) s
..1..8.42.3....15.6.....8..........7...4.......4.63.98.............2..1595.7..36. # s tf(1) s
9......35.6..7..89325.9.........1..3......894.5.8...1.....2.......5.....2.74.31.. # s tf(1) s
9....5.....149.2.6.64..35..3..7.18......6..3......9..4.2....46.48...............2 # s tf(1) s
.....8..7....496...8.5...........5..7...349.........349......562....34...4..7...8 # s tf(1) s
89.....7.......3.41..6.3....8..2...3.29.367..6............68......2.75..9.5..4..8 # s tf(1) s
............29..5...275493..7.3..8.52..9............6.4.....79...64...23823...... # s tf(1) s
9....8.....7.4...8.843.....16.59......5..........8..724...518.6....3.4.........9. # s tf(1) s
..7......5....4.29.4...1.7.25.........4....9....1.38....6.4...3.8..7.1.....6...82 # s tf(1) s

#05xx: Coloring
#0500: Simple Colors
.............3.6.52..1.5.4.....9.3...6.7..5...1...4..279.6.....5.....9811.2...... # ssts sc(7) s
3.265......6..4....5.....3.....2.......9..8....51.6...6...3.92.........4.14..5..6 # ssts sc(4) s
.3.7..8.55972..................9.5.7....6...........83.72..396..4...7....638..... # ssts sc(4) s
21..........9....4...4.7.......7..32...6......48.21..642...986...91.8...1.6.....9 # ssts sc(3) s
..45.3.2.....87..5...14....1.34.9...8..........6.............917.5.682......5.8.7 # ssts sc(1) s
.52......8....4.12.1.7...3..3...94569...7....1.....9.....5...6.3...615...4.8..... # ssts sc(1) s
.7.......4...........5.213...8..9412..........423...6..6.27.8....19.834.......... # ssts sc(1) s

#0501: Multi-Colors

#0502: Weak Colors

#0503: X-Colors

#0507: 3D Medusa Coloring

#06xx: Uniqueness
#0600: Uniqueness Test Type 1
...3..1.8.5.4...9.39..6...7.342..............96..3...1..871...5.....2....4.6.8... # s u1(2) s
..7.4..32......7.....91.6..83.7694..5....8.......24....8......1..3......9......64 # s u1(2) s
........7..8......3.......5.....9.2...681...98.27.35..9....145.12..4....5..28..1. # s u1(2) s
....3..........8.97..1.2.6.6....7.....93.1..2..........82..5..1..5.43..79.4.....5 # s u1(2) s
.......81..6...4..94..81..3..51....44..9.26........9.2.3.59........7.....6.....5. # s u1(2) s
.......466..32...........8.9....2....6..9......4.8526..8..1....295.......4.7..... # s u1(2) s
.35.4.......32..8...96.1.4........678.7.3.......9.......2..68.1..4.9...6...2...34 # s u1(2) s
.....896.1..7......675..3..21...78....489...37....4..5.219....4................26 # s u1(2) s

#0601: Uniqueness Test Type 2
.9...2...6..4....3..5..628....8....4.1...........27........341...65.43.2..9.1..76 # s u2(6) s
3.9..5......36.....45.......1....8.34...9......87...16.568....1........21.493...5 # s u2(5) s
5..........24.91..1..7............9...9.52..886.9...2..2.....3.7.8...6...318.42.9 # s u2(5) s
8.469..1.9.7..2.8.............2...9......5.32..59.6.........1...7......532...79.8 # s u2(4) s
2...1......84....7954....2...7....4..9..8.256...1.43..54.....3.3..95............. # s u2(4) s
4.8.1....6....42...5....6....9435....2.6....784..7........6.....351...........371 # s u2(3) s
..16........7...1....9.375..3.598..68....45.264.......7.....3.92.....8.........2. # s u2(3) s
........59...354.747..............83...794..12......5..5.6......8.........2..7368 # s u2(2) s
.3.........1749..88...6.1.......167..264...8..4..7..........7......5.......8.25.9 # s u2(2) s
........7..94.......32564.....3.5.1..........25.9.......4.....8.2...957.98.6.2..1 # s u2(1) s
.6.5..2.11.........239....664...........27.9..52....8........6...1..59..5...7.1.. # s u2(1) s
.4..87..3...2..85......1..97.......4.8.36...5.59...3..1..........3.....1....4..2. # s u2(1) s
.79.....6..5..14..6.............8.2..98.1.....1.2...54.......6885.4..2.3..6...... # ssts u2(8) s
.4...59....64.......529.17.....24..3.3.9..6.1.9..7.....1.............4.......2.68 # ssts u2(8) s
....6..2.394...7..2....41....2....4..6.8........6.9....4...739...1.8...2......51. # ssts u2(7) s
7...59..8.341....61.8..........4.......978...9836............144.7........6..13.. # ssts u2(7) s
6..8..5.27..........1.5.........7.6.49..6..18.8...4.9...3.45..1.4.1.......5.....3 # ssts u2(6) s
..7..4......23.7..2.8...9..7.28.9.6.8...............94..6.82..9...35...7......3.. # ssts u2(6) s
..8....7..5......4.34.7........8....8.129..5.9......4......5.1.4....62.569...7... # ssts u2(6) s
....81...2....3.71....56.29......732.1........8..4........3..9...4..2..8..8...5.. # ssts u2(5) s
...8.5.36....2..........287..1..3....6......9..95..473.....7..8987.1......395.... # ssts u2(5) s
......1.2.4.....7....728.......14..3......4..8..6......7.16...849..8.5....3..9..1 # ssts u2(5) s
..94.8.....6....15....2...........3..2.657.9...1.895..483..........92..........6. # ssts u2(9) x
.....673.......4.87..5.....5....48............62.7...1.5..89...6...2...7.1.6.52.4 # ssts u2(9) x
.7.....4.9.54...8...876......3..97.12........8....496...93.81..........653....... # ssts u2(9) x

#0602: Uniqueness Test Type 3
3.......7...98...3.5.....2...1.....5.968.12......237....4.....9...71..5.......36. # s u3(5) s
.8..3.1.......23....64...753.9.2.....2.5.1.8...7.4...27..6...........8..54......7 # s u3(4) s
.4...6.2...7.......9.8.561.4569........3..........4..61.56....3...5..4...7..3.... # s u3(3) s
.8.....9.....283....39.654.4...9...........2....8.......6.3.8.53.7........54.97.. # s u3(2) s
.4....76.6.....1.....31.58......52.9..........7.98.....28..9...1....3....37452... # s u3(2) s
18......9..5.68..1.......568..........7.324...3.1.5..72........49.....1.......928 # s u3(1) s
......62..927.3......1..374.7158.......2....12.86......8.....4.1.7...........4... # s u3(1) s
........5876....1...1.9.8.6...7....9.5..1.6....4.38.....932............26.3..5... # s u3(1) s
.....8..9....7.21.3896.2.5...25........1.4.9.5.6.8.3............1.....4793....... # s u3(1) s
..5.4..1...8.32.7..4....3.936.....54........1.1965...3...72......4.9............. # ssts u3(14) x
5.8...12.........72....58.64....2....8.9..........697....2.........7.419.3.1592.. # ssts u3(12) s
..3....9...78....6.6......1............45....45..61..7..81.926.9....3........8.1. # ssts u3(10) s
....31..2.9.6..4........6...641.5.....7....94.2...3............8....2.731.278.... # ssts u3(10) s
...3.........74....51....79782..........26.9....5..........36.19...5.32.6.38..... # ssts u3(9) s
....5...66..9..2.3.39..754..95....7....87..........1.....53....26..98..........6. # ssts u3(8) s
6..3.7.4...5.......1.2...9...6.2...9........8489...5.2...1.........5......27981.4 # ssts u3(8) s
4..9..6..7..4....2.6..37.94...2....5.1........7...8.....58....6.3...6.7........4. # ssts u3(7) s
3...8.1....8.71...6.9..5.......4.9.8......254.....9....6..1....2.......5.5..9.7.2 # ssts u3(6) s
...394.61............6...73..........385.9.14.21..65...4..713.........8615......2 # ssts u3(6) s
.......7.64......88...279..2..67..1...3......9.845.26....3..........6.....2.89... # ssts u3(6) s
......7...5.1..8..137....5..7...4.......9...46..8.5.3..61.835..2.8.4............. # ssts u3(5) s
.5..38..7...7...5....14...2..8...42.1.7.....923......15...8....3.....96..7.4..... # ssts u3(5) s
3.2.....4....9......1..6.9897.......8...67..1.3...2.86.1....4..5...8.......4.3... # ssts u3(3) s
2....6.7...87.94....7..2.1..3.......6..1...2.78....3645.............7..6..6...789 # ssts u3(3) s
14.....2......89.697.....38..1......3..8.56...9......2.5..86..........61.....35.9 # ssts u3(3) s
.4.........72..5..9......63...964.....5............1.281...7........5.867..3..... # ssts u3(11) x

#0603: Uniqueness Test Type 4
............3.9........7149.......31.2...89.4.96.7...8..8.......326........9..72. # s u4(2) ssts
.68....1...2..6..795.31..........3.25..84.....3..2...4..973................954.8. # s u4(2) ssts
..9..7......6....3...5218...14..5..7.83...2...............8.64..6...3..17.......5 # ssts u4(2) s
..7.63.9.16.7...4....59.......4.....79....3..83......2.1.3.7........17..3..8..9.. # ssts u4(2) s
.17.3.8.985..............1......7...2..9........4..3....23.47..9.87.5.6...5.6.4.2 # ssts u4(2) s
...76..9...6.3.4.1....8..3.............47...22351...4.493.26...82......3......... # ssts u4(2) s

#0604: Uniqueness Test Type 5
.24.6..18............93.........63...624....1..7.5.......89.7....6.4..85..1.....3 # ssts u5(1) s
.....47.5..2.37.......2..68.5....4.381...9.......461......1.5.49.........8......6 # ssts u5(1) s
.9....25....2......6.....8...4.2...37264....15....7..8....84.7.158.7.......15.... # ssts u5(1) s
.1...8.6..9.6...2.4..9..1...43..7......5.9..........35........4....815....1.95..8 # ssts u5(1) s
....8.....5...6..4......7.62....9..1.932..6..1483......8.4...27.....71........3.. # ssts u5(1) s
#diagonal variant
:0604:1:75.+98+2.+312.96.3+58+7..8.+5+79..+8..+5+9437+6+6..+32+1+8+9+5+5938+7+6.....5..+92.+8+98.2.57.34...3+8.59:132 438 468 172 175 188 192 193:174:

#0605: Uniqueness Test Type 6
.73..........3......8...2.1...7..8.6...6284.32....4.5.5.9.......4..........5123.. # s u6(2) ssts
..6..5....2.1.7.69.....3.....8...6946...4....1.......8...9..43...25.8..131.....8. # s u6(2) ssts
541.............45...9....3......891.........6..397.....7..........536..3.4.26..7 # s u6(2) ssts
.395....85.......2....2.4...419.5...9...7..3......857...8..67...........19....... # s u6(2) ssts

#0606: Hidden Rectangle
.9...21.....73..2.52......81.3.47.......6..3.8.......57.68.4...9..........1.....4 # s hr(1) ssts
879......2.59....3.1.......36.87.21.9..41.........3......2........367..1.......59 # s hr(1) ssts
....5.2..3..7.....7...9..1.9..1..746............5....9.29...4...6...4....8...23.1 # s hr(1) ssts
.2.7........1.......4..87.3........18...9........34.2...8...39...6.52...9......15 # s hr(1) ssts

#0607: Avoidable Rectangle Type 1
...195..2635..........3...88.........5.9..71.1..2....9..468..51......4.......7.2. # x ar1(1) s
..5...........268.7....14.....1.68.....3......87...1.38.12.43...3..6..2.26....... # x ar1(1) s
.86.4....2........1...76.9....4.7...8...9......9683.7....752..8.......457..3..1.. # x ar1(1) s
.6.....7....8456.2...73....83....2.52.6...9..57.2..................78.566...591.3 # x ar1(1) s
.5........6.5.42....8.71...4....36.8.........89.1..7..3...........2.7.1..72.3..9. # x ar1(1) s

#0607: Avoidable Rectangle Type 2
9.....6....1..6.387.6.8...........76..41......5.947.2.2.......5...25........9...1 # ssts ar2(3) s
..2....95.892...6.4...5......18...2.........9.9.621..8..8913...............4..38. # x ar2(2) s
.....78...169...7....1..56.8..........5..3...3...4.2...7...2......859..24...1..3. # x ar2(2) s
..4..8675.2.....3937..5..8.........75...16.9......5.....76........9....324.....1. # x ar2(2) s
1....2.5..2......3..46.8..72..........74..9.6.6..9.........6......1...8...5..32.4 # x ar2(3) ssts
7.1..8...695.......8.9..6.....4.6.........8.....5..26.........9.79..1.....625.1.4 # x ar2(1) ssts
.85....6......47...3....1.........5.6...43....7.82.3.....45967..........9.416...3 # x ar2(7) x
.......31.96...7.25..............8..7.94.........329.......8..5.32.5..1...1..9.87 # x ar2(6) x
......93...27....57.....8.......3....4..9...6..8..1374..5.8719....9......6....... # x ar2(5) x
...185....83.2.5..........726..5.7.3..9....6.73............6.59.4......2..79..... # x ar2(4) x
2...1.....17...5....6754.2....82..5.......6.4....71...6....3......2..79...968.... # x ar2(4) x
3.....7...4....2...79.3.46872...............9.91......1...52......7.138.4.2.6...1 # x ar2(2) x
........1.6.5...9.4..7..8....8.............45.31.64...853.....2..21....6.....3... # x ar2(2) x
32.5.........94..7.......3.....7..4.8431....9..68.......948..5.........4....12.8. # x ar2(2) x
1.9.......4......5...1....3..3.186.....9.7.3.5................8.....435..18.6..72 # x ar2(1) x
......132.6.5.3...8.....6.9..............184....938..12.5..4.....41......1..9...8 # x ar2(1) x

#0610: Bivalue Universal Grave + 1
....13......2....93.184.2..968....2..379...1......4...........8..9.35.7..1..6.... # s bug1(2) s
...5.2..1....1..8.8.....4.........3.9413..8.778..5.6............75..9..2..87..... # s bug1(2) s
8..325...7.....9.........2..9327.5.1....3.8....6............13...49.7.566........ # s bug1(2) s
..1.....7862......9..6.........5.2..79...3..6.....48.1.24.3815..5...............2 # s bug1(2) s
...............1.73..6.....9..8......2....81..6..24.....8..759...71..32.4..596... # s bug1(2) s

#0620: BUG Lite

#07xx: Chains and Loops
#0700: Forcing Chain

#0701: X-Chain
....5..8...7.293..1...74..25.91.2..4....4.........816.718....2...........6......7 # s x(3) s
..21...............1...928.4...3...673.5.........9745..2......787.2.49......8.... # s x(2) s
.....6.....7.3..4.1.6.8..957..9..85.9...4..2.4....8....93.5..1......7.......6...2 # s x(2) s
3.4.2..8...6.......5..7.3.....68..2.....34....6.15.7...1.........9....6...8217..5 # s x(1) s
.17....28.8..4...........7...4.9...696...7..15....2..............891.54...58..31. # ssts x(3) s
......94..4...53......78..25.9..7...........371..3.4.5..6..2754.........3.....2.8 # ssts x(3) s
...6..51........3937..9......45....1.6...87..2..731..668..........1...........8.5 # ssts x(2) s
....45.....9.1..36......7...8......5.5..369.1..........184..3...368.25.9......... # ssts x(2) s
..3...9.2..5.9..3.6.2..3..8....5....3.126..9....3.851641.....2......5.........6.. # ssts x(2) s
..6.71...1...5.....4.....75....3.7....542.8...9.....4...9..........4.58.7.2..56.. # ssts x(2) s
.....83.....31.....846.........2.6.1.96........89...........52.8.7..5..32....317. # ssts x(2) s
4....3....3.89......812...4.....52..16............1346..2...9..7...4.68.8....2..3 # ssts x(1) s
....861.......4.25.....187.5.8....67.....3....326..51...12....89....5...........4 # ssts x(1) s
......9....64..2.537...5.4....1.2..............439..2......87..152.....8.8..134.9 # ssts x(1) s
16.....2...51.6....4......8...........76.918..8..47563.........7.69....1.....8956 # ssts x(1) s

#0702: XY-Chain
76.....9.............42536...65..2..9..1.2.......7...9.....643..49.8...2.1...7... # s xyc(5) s
4...5.98153........6.1...53.58.2..4....4.3...7..8..........9....2........1.....68 # s xyc(5) s
.7.4..69...82...536................4....9.5..3.......12..367.........2.51.6..84.. # s xyc(5) s
...9.7................2.76...5..248..32.781...8415.2..54.7...1.61....3.5..9...... # s xyc(5) s
.1..825.......5.38...1........6..27527.438.....6..............2.....398..4..16... # s xyc(4) s
....1.4....4.....7.....8329.987.6.3..7..82....5..396..5...9...1..2.............6. # s xyc(4) s
..6.1..3.2.7....9...96.2..1.95.736.2..19.5...4.............6..8.............94.7. # s xyc(4) s
74......15.6.48.....9..........9.14...3.....9.2.6.....4.......2...7..98..61...5.3 # s xyc(4) s
.....1.....5.4....8..72.9.5...31.........96.293.5.4..8......17.15........43...... # s xyc(3) s
7.4.............8...8..1.35149.6........5.42..............95...9...48.6..6..27.1. # s xyc(3) s
2..9....48....2.9.....657..78...............1...2.84.5....34.19.61...5..34....... # s xyc(3) s
8.7....4..59..2.....3..6..148.1...67.....781.............79..5.......394...2...8. # s xyc(3) s
3...4.52858.........2..........74....1....35..5.6...4..78.....21..2......39..68.. # s xyc(3) s
8..4..9.....2..3.......3815.5.671.........5..........1..2....3..3..6...4.76..2.8. # s xyc(1) s
.38.....92..1............1..5...7...473.....58..2.9.......6.43....41..8.7...93... # s xyc(1) s
...1....3...87.6.441....87..3.....286.5..........451.65...9.....6...1.....2...7.. # s xyc(1) s
..1.....9.6...4......13...645.32.7..7....68..2.........9....263.....2.18..4..3... # ssts xyc(7) s
.4.8.3...2....97.....2....5.......3..36....798.1.76.......8.4....86.....9..5...2. # ssts xyc(6) s
...25.976.....9..4.8.7..21....8.........3.65..34..7...547.....8.9....7..........1 # ssts xyc(6) s
......6....38....9....47.31.3.7.85......5.....259....7169.8...........2.78.5.1... # ssts xyc(5) s
3.....4.....6.18.3..5............7.9962.47.3..4..........1.3..5..8.9...2.9.8.5... # ssts xyc(5) s
5....2..42.4..9..1......8.68.5....1...2.85.....1.....7...4.329.....9.......5..6.. # ssts xyc(8) xyc(2) xyc(4) s
284.....1..............7.2....7.5.3...561..4..3.............563....42.9.519.....4 # ssts xyc(7) xyc(5) s

#0703: Remote Pairs
1.8....5...4...6.72....3......5...4.6......9....91.7....73.........75.6.38.4.6..5 # s rp(10) s
....39....9.6...5..48.5....97...85..3....1.6..85.7........43..9............86.4.. # s rp(10) s
..125....72...65......784.........3..6.18....9786.2..........622.........1...58.. # s rp(9) s
........36..21....942.3....2634..7.98......2.........4..7..4.9....9.631.........7 # s rp(8) s
.8....4.3...8.9....1...765........75.27.8...4.......6.6.9..1......69.3....82..... # s rp(8) s
...3.9.1.12....5...982...7...3.5.9....67...3....8.........4....6....81.58.5...... # s rp(7) s
...4....5.......9.1...96...3.6..5..427.............6.1.41...76....6.4.5..873..... # s rp(6) s
...2.....7...6..59...4..8..47.....3.12...7.64..96...1...4.....6......5...5..9.18. # s rp(6) s
6...8.7.19....32...23.7....5....9827.............3.4....1....54.7.814............ # s rp(6) s
..4...21....8.5....2....9...359.....2...6.3.......7..896..4......36...9....1.3..6 # s rp(6) s
5....93..1..748.59..2..6.1...3695...................64.....4.9...135.....6....1.3 # s rp(6) s
.......4.4....8..18..63...71923..46...6....7..84.....39............26.......4..29 # s rp(5) s
.72..56...3.82.7...6.....54..36...........1..9...7........41..........9.596....8. # s rp(5) s
..845...6..3..1.........87........48.2.1.37...6..9....9...14.3.1.7.2..5.2........ # s rp(1) s
....9......5.....7.....42....7...4...9.168....8.....13..3.1..9.5..9...7.2...361.. # s rp(1) s
........8.76....394.5...1.7...6.7.1.3.2........18...9......6....53.....4.....158. # s rp(1) s
...4..5..3......716.9.3...4.9..8..36276..................7..49.8...4.......268... # ssts rp(12) s
.....9....4..7.9.5.6..4..1.......5.48.7.....14...5...9.7.39...............9.6287. # ssts rp(12) s
5.6...3.8.............59..7..3..8.2...9.1.47....9.5.63.........9......1..8.12...6 # ssts rp(12) s
.......2...5..........36.18.4..51.9...6.....795.76...46........17..426...9....... # ssts rp(11) s
..2..7648..694................41..........5...24..63...6.....8......8.799.12..... # ssts rp(10) s
....41.....7.....625.....3..2..39.5....1......79........4...6...9.7.......1..3529 # ssts rp(9) s
.....72.64.....5..52.8...312..6.8.13.........8.5.....2.7..3.1...3.....6.....2.... # ssts rp(9) s
.94..3.....5.67..3..1...9.........1...821..9.....4.6..4...............62....26.5. # ssts rp(9) s

#0704: Fishy Cycle

#0705: Broken Wing

#0000 Nice Loops
#0706: Continuous Nice Loop
548.......3....8..1.......3.72..86........3......47..9.1.3...2.2569.........6.7.. # s cnl(13) s
6..91.52......7.....................5....4.16..86..4.5.4....1..93.86......5.4138. # s cnl(12) s
6..15.7.8.7.....4...14....97..6.5....9..812...8..............934...9.1.......6..7 # s cnl(9) s
....6.1...275....6.....43.84....798.....5.2.1...........4.......619...24.3...1... # s cnl(8) s
..28.....7......3.4..3.5..68..4...67.715.......6.....9....49.....7...6.52......7. # s cnl(4) s
........77.5.9...3..3...8.16749......3..........4.62...1.3..4..25.1.9...3.7...... # ssts cnl(18) s
..63..9...2..............53...8.9..4.951...2.7.......984..32.....7.4......39.17.. # ssts cnl(16) s
.8.2..1.3....7........6..4....1...5.7...5.39.2....9716563..............997..2.5.. # ssts cnl(15) s
5..9.........2.4.98..7...........6...2.......4.6315....1.67..42.....3.7..4.....86 # ssts cnl(12) s
91247...............3........7.....634...1.82..85...49.....23......9...1.2..8..5. # ssts cnl(12) s
............6..784.1..48..2.3..729..5..............41.46.3..82.8...2...6..9..5... # ssts cnl(12) s
..4........2.486..1.....8.9..1....5.235..748.64.....72...7...9.3..6..5......83... # ssts cnl(7) s
1...8.54.4........5.8.3.2......5......34.6.2.6.5..9134......8.....5....13..61.4.. # ssts cnl(6) s

#0707: Discontinuous Nice Loop
# set value
1....58..4..2.......2...47......6..3....7.91.29.........4...2......48.5....1...8. # s dnl(4) s
.......8.28.....3...96..7.4....492..........5...183.9.327..65.........7.4.895.... # s dnl(3) s
.5...2..9.9..........6.7..2.8257.........4...467...9.....4.5.......186..1.9....2. # s dnl(3) s
...........164..8.....1.724..9.73....2.1.....6879...1.196...2........67...3.....9 # ssts dnl(5) s
..7.65....1...84364...........6....3..4.2...1....4.2....1.....7.....2...53..7.91. # ssts dnl(4) s
....2.6..2.9.....1.4.3.78...741...85............4...625...........97..1..16...... # ssts dnl(4) s
24.17......5.......3.482.....2..3..86..89...........96.....9.5..84.....13......64 # ssts dnl(4) s
# delete candidate
....8.2....5....4..2...5........7......21..971.4....3...........973..52...8.5136. # s dnl(1) s

#0708: Alternating Interference Chain
# Type 1
.......5.....2.1....38........6....22..4.8.934.1....851..........6.359.7745...... # s aic(5) s
.......69.8..2.13..1......4..........4...9.7..671.29....1....8.3..........867.2.5 # s aic(5) s
...6..5.447.5.91...........7.8..3.4......5....9..186...317..29..5......62........ # s aic(4) s
............91.7.55.4...........2.93..56....231.......8..7..93.......5.6.2.3.9... # s aic(4) s
............1..6.2.5...749...35.......629..31.74..32..3...........826..........1. # s aic(4) s
..7.....4.42...98...9..36..983.52.......1.....7436.5.....8.......5.2.........9.3. # s aic(3) s
........8...3..........547......7.1.491.........5......2..9.85...76....2..6.3879. # s aic(3) s
.3......1..8.67..3175.4....6....1...........8..4..9..581..........2...8.5.23.4.9. # s aic(3) s
.594.....37..619..................9...48..5.76.8.1.34......41..125..7.......2...5 # s aic(3) s
9.6.82..........5......31...4......1.....6.......9..4.3..71.4...7..45.86..4...2.. # s aic(3) s
.2..38...........77...4.1524........19..6.........759..178..3......2.....629..... # s aic(2) s
.....86.915...9...4.6.1.7...71.5..8.3.......2.....2....4..3........96.........4.6 # s aic(2) s
..85....67..4.....5...72.13....49......3.158..7.........2..4.7........311.32..... # ssts aic(6) s
.1......5.....4..636...........294..17.......9.....31..3..7.2.....3...948.4..6... # ssts aic(6) s
......126.7.......2.1...5....6.3.45...98.4.......6....8..57....5.4..681..37...... # ssts aic(6) s
9368......7...........4.....892........93...7.....6.341.8......59.....16..2...4.9 # ssts aic(6) s
.3.7.8....84.3....6...............424.9...81525........93..5..8....2...7....14.5. # x aic(8) s
# Type 2
963.1.....7.3..........27..7.9.6..........5...3.....9.....3...25...86..3....71846 # s aic(2) s
.1.....2..78..95..4....8..739.1....6.......3...6...9.......3....3..8..9...16.2..5 # s aic(2) s

#0709: Grouped Continuous Nice Loop
3.2....1....97.............5...8.6....15...7..8..4....9....1.27.1.4.......5..79.. # s gcnl(11) s
..243.9...3.7...1519.....2.2.......694.............74.3.9......6...1.....8.5..69. # ssts gcnl(15) s
....7..9.429.5...16..........1..4.2.95..63......8.......6..5....3.2.1..7........4 # ssts gcnl(12) s
3.6..2.89..........5.8.1.........5.2.......7.2....6.4.67...43......93..5....6.4.. # ssts gcnl(10) s
....8..5.9.3........12....3..25.36...7.41.3.51..............264.2.....8.....5.... # ssts gcnl(9) s
....3.94.6......7....6..1....95....2..2.73.9515..42.......5.....43...8........26. # ssts gcnl(8) s

#0710: Grouped Discontinuous Nice Loop
# set value
4....3.....8......16..94............7...519645.12....8.5....4.......2.9531..4.6.. # ssts gdnl(3) s
......15..5.7.1..........9.3...9..1...76.4....4651...778..3.2................54.. # ssts gdnl(2) s
# delete candidate

#0711: Grouped Alternating Interference Chain
# Grouped Type 1
..512.....7.....8..8....345............6...3.4.2.81..9.......28..9.4.6.....8..7.4 # s gaic(4) s
......9...461..7.3.5.....4..65.....2.1.68...9..927...4.98........75.31.85.1...... # s gaic(4) s
81....7....415..3..7.8.....489.1.2..........9.....3.....5.......97538.4....2...1. # s gaic(4) s
...1...7....8.76....3.5.........9...4...7..9668...........8.2..5..3...4717.9.2.5. # s gaic(4) s
86.9................1478...7.8.....6542..3.1........3..83.65.7...4..2........46.3 # s gaic(3) s
5.7....1....56..87..427...........6.......8.5....5..42.32.9.4..1..3..........265. # s gaic(3) s
..8..169.......35..9........5.9.....7..62.....4....98...641...54...82....87..6... # ssts gaic(5) s
....6..3..36.8..94.2..496.....2..5..95.7...8......83.......1....65........4...7.8 # ssts gaic(4) s
...65..28.458.31...3......59..1...6..2..8......6..74.3.84.....7..........6.....3. # ssts gaic(4) s
4....2.391.53..28.............4..9.886........79...1....123...4...9........1.8... # ssts gaic(3) s
12..86.........3..45...........6......57.....6...24783231.....6....5.917......... # ssts gaic(3) s
....5.....8....25949..28.............6...2793..7.19.6....8.61.4..9....7...4.3.... # ssts gaic(3) s
.....25.186.........2..1.68..9....7..4..5.......4.....4..76.2...5..1..8..1....... # ssts gaic(2) s
# Grouped Type 2
..5..4.2.2....8..5.7.6..8..6517..........2......84....8..2..3............3.59...4 # s gaic(2) ssts
....5.76.7.5.....3....86.2...43.......6.9.14.....2...........5...7.6...2839...... # ssts gaic(2) s
.5..........8..3.21..6..8..564.......8.3.5194............2.....412.3....9....7.8. # ssts gaic(2) s
..45..8.1...3...7.619.........6.9...736..5.......4...2.......23.....21.....4.7... # ssts gaic(2) s

#08xx: Wings
#0800: XY-Wing
